"Gene","Module","GS","GS_pvalue","MM","MM_pvalue","kTotal","kWithin","Module_Trait_Cor","Module_Trait_Pval"
"ENSG00000301105","brown",-0.141435258529746,0.696725452240859,-0.749958977684618,0.0124853908813775,346.501383047697,23.4620650410521,NA,NA
"PDE6A","blue",0.141313800692264,0.696975526756848,0.949038120340929,2.77427788457697e-05,493.337046067928,302.202630324591,NA,NA
"MGAT2","brown",0.141287069791378,0.69703056763246,0.928591275679782,0.00010429739272468,393.647586104409,276.115936642679,NA,NA
"MUC1","green",0.141284623051392,0.69703560571222,0.853219193088518,0.00169447184272038,49.453537106046,26.259096154693,NA,NA
"DYNLT3","grey",-0.141275974757195,0.697053413491261,0.465481389144495,0.17518219218153,4.93208556092229,1.29988906652947,NA,NA
"ABHD17B","red",-0.141167945358784,0.697275869002399,-0.91335498812871,0.00022185338876739,46.4705039025159,10.1701876898623,NA,NA
"PIGT","lightgreen",0.141138678504298,0.697336139257644,-0.653230643418865,0.040552196029159,16.0609146817073,2.67210284289312,NA,NA
"ZSCAN30","turquoise",-0.141110308085611,0.697394564906165,-0.83975606369738,0.00236620298831924,287.890522503054,92.8254924267677,NA,NA
"PLEKHA6","turquoise",0.141092171269879,0.697431916364387,0.9032940461497,0.000340000658320791,469.34777265295,397.925762472839,NA,NA
"ZC3H8","blue",-0.141072821866501,0.697471765704155,0.922199274188465,0.000145806997349022,491.998271014066,315.552504033469,NA,NA
"DHFR","turquoise",-0.141049418531714,0.697519964846961,0.944334403250555,3.92659011095447e-05,664.831791561204,570.695251204619,NA,NA
"FBXO34","brown",0.141034820170807,0.697550030648827,0.833894981691061,0.00271149784161979,307.820947692883,146.61709387324,NA,NA
"FYCO1","blue",-0.140988643349033,0.697645135818889,0.853044536613664,0.00170217439373106,406.015679789363,191.610722458703,NA,NA
"TAP2","black",-0.140900039748397,0.697827633233679,0.920604388642376,0.000157824348644206,68.286770515596,40.4415192182616,NA,NA
"TMEM50B","darkturquoise",0.140885519727039,0.697857541546809,-0.917574501317222,0.000182644760083027,181.970190499986,7.08685171956942,NA,NA
"CAPN1","turquoise",0.140861429934019,0.697907162484026,0.892751080416868,0.000507611786922614,452.691399739516,338.241942499786,NA,NA
"ZBTB38","blue",0.140801829969781,0.698029932853318,0.842520995567469,0.00221485653444929,259.37910283656,146.450477943147,NA,NA
"UBQLN2","grey60",0.140799243069852,0.698035261768799,-0.65390367013387,0.0402754360922442,11.7646167208401,0.478544543299964,NA,NA
"SLC5A3","lightgreen",-0.14072407209605,0.698190116304385,0.853964270179227,0.00166189638717811,23.5732186599116,5.72343779156354,NA,NA
"LSM7","brown",0.140672644441068,0.698296064644528,0.901926165178023,0.000359037970717886,730.254036722312,320.358760836326,NA,NA
"NFATC1","blue",-0.140648003257798,0.698346830676461,0.873516847736994,0.000958562491300727,454.102908976975,205.937104171301,NA,NA
"ENSG00000290318","yellow",0.140578383565393,0.698490267738023,0.896892242392705,0.000435882750069117,320.97693711799,71.6963145136412,NA,NA
"HRH1","lightgreen",-0.140568524871514,0.698510580244361,0.705671361958799,0.0225987967314347,12.1673172282505,2.1125749430572,NA,NA
"SUN1","yellow",0.140557428140955,0.698533443764075,0.813809514062715,0.00417180672989465,243.102496974226,43.2807866192419,NA,NA
"TOMM34","brown",0.140490246102383,0.698671869183325,0.900339319315993,0.000382089581412456,578.620054545327,277.027965031996,NA,NA
"NOB1","turquoise",-0.140489390418737,0.698673632330672,0.952336943122355,2.13130968134091e-05,719.145394020435,600.799734510892,NA,NA
"ZNF470","blue",0.14043438480906,0.698786974830848,0.87838542181313,0.000824308387956598,362.913232151866,187.096848969457,NA,NA
"FZD8","black",0.140409675711886,0.69883789121598,-0.877763631917505,0.00084063950242628,82.4740677120662,10.2579237642337,NA,NA
"ETFB","green",0.140400061306324,0.698857703271165,-0.814145649922801,0.004143554368035,559.697566431684,20.5526529624654,NA,NA
"MFAP3L","blue",-0.140371597068506,0.69891635944841,0.921744594702824,0.000149161671256219,451.349675921324,251.559778344849,NA,NA
"BLMH","brown",0.140356447737588,0.698947578218229,0.940865320506769,4.97955334160272e-05,559.660975047773,340.230132141679,NA,NA
"COX14","blue",-0.140327188812318,0.699007874285501,0.787446912357821,0.00684782044629511,256.138421227145,135.92739841883,NA,NA
"TFDP2","black",-0.140283169225425,0.699098591612625,-0.818338530167149,0.00380255011007728,237.478431513384,14.9272117549433,NA,NA
"PTOV1","blue",0.140277846501432,0.699109561127723,-0.905014599519688,0.000317119920669454,456.012988311073,58.1694523997973,NA,NA
"PPP4R3A","grey",-0.140275895523061,0.699113581879793,-0.246799009809018,0.491826358102457,12.273712798962,0.994660939480347,NA,NA
"KLF11","turquoise",0.140262252585092,0.699141698664227,-0.77223585887599,0.00885133286276622,187.997795860614,60.8766395081997,NA,NA
"POLE4","turquoise",-0.140256878899717,0.699152773403918,0.862341566942757,0.00132611888309846,391.398302605781,334.626265246215,NA,NA
"PLCXD1","grey60",-0.140245690134591,0.699175832726049,0.841287120100778,0.0022815045976464,33.3311018186792,9.88920836276105,NA,NA
"SLC9A8","turquoise",0.140184570353803,0.699301800554583,-0.798353652784831,0.00562587812675748,176.761448549907,67.6044857863094,NA,NA
"ENSG00000272410","turquoise",0.140147301553288,0.699378614770478,-0.556302934036328,0.0949127284257582,63.1482974011346,14.9458982863309,NA,NA
"CLSTN3","black",-0.140140958530003,0.69939168853371,0.829621321346885,0.00298515442387459,62.7996733762917,34.792831844129,NA,NA
"ACAD9","brown",0.140140435205946,0.69939276717313,-0.793431810779581,0.00615619413849613,41.971221955852,17.5677411981056,NA,NA
"STK38","turquoise",-0.140128314994152,0.699417748652456,0.599796885603577,0.0668045404656699,60.4151282603105,41.0475449095409,NA,NA
"DDX55","turquoise",-0.140125905881792,0.699422714206408,0.678532565719621,0.0310020932024649,150.507188258374,102.424724733369,NA,NA
"SLC39A8","green",-0.140123200160616,0.699428291129332,0.875852703032191,0.000892307196567841,66.7112856556284,38.7323743796998,NA,NA
"NPIPB15","yellow",-0.140109865619077,0.699455775935422,0.784170215501504,0.007248975224569,67.0059316395254,24.9991000058745,NA,NA
"CMTR1","grey60",-0.140085119714207,0.699506782376039,-0.823400269786317,0.00341826324683262,25.2948970108318,2.99200038988328,NA,NA
"CIPC","turquoise",-0.140081031578965,0.699515208974544,-0.862145331969315,0.00133336609215432,257.682960597498,110.023236192843,NA,NA
"ENSG00000286918","blue",-0.13999194506426,0.699698844354541,0.907618360244196,0.000284671359593608,354.115265224753,234.001680029764,NA,NA
"NBPF8","salmon",-0.13993702518192,0.699812058522882,-0.898407980747411,0.000411588535010964,94.6604747897819,7.09481555623815,NA,NA
"NDRG2","turquoise",-0.139935357242188,0.699815496967719,-0.835196933735764,0.00263185147984819,369.623825099316,103.243917082765,NA,NA
"MORC4","blue",-0.139931644983376,0.699823149778131,0.92966971985386,9.82685895881041e-05,430.658623972749,303.033438631398,NA,NA
"ATXN2L","turquoise",0.139877354045734,0.699935073162654,0.842876803634726,0.00219590158278325,555.564337537576,297.298632628552,NA,NA
"FIGN","blue",-0.139857009868333,0.699977015004755,0.612303123901314,0.0598748995530141,103.005480465818,34.9789703541452,NA,NA
"RAB20","yellow",0.139722447353049,0.70025444936349,0.606993542674988,0.0627561175067036,28.2052151787101,8.91757911177952,NA,NA
"NDFIP1","brown",0.139678421869477,0.700345225866546,0.544898303129818,0.103354654907278,56.9863392984859,31.1261868673063,NA,NA
"PRCP","turquoise",0.139668173732828,0.700366357073121,-0.596534896901559,0.0686944398831002,60.4605189081044,19.8056035348519,NA,NA
"COX7C","turquoise",-0.139658183036317,0.700386957627638,0.966337244681688,5.39416441700051e-06,761.262748420974,660.761862151825,NA,NA
"MICU3","blue",0.139638048280868,0.700428475500419,0.605678175026315,0.0634837000071856,100.295126969931,34.3246094755099,NA,NA
"FRRS1L","blue",-0.139581825323074,0.700544411040885,0.828801854299974,0.0030398117537211,202.963751751109,130.097597500431,NA,NA
"PGRMC1","turquoise",-0.139579353406321,0.700549508428157,0.91631377522725,0.000193775649049928,533.226665039272,433.909413921139,NA,NA
"SRGAP1","green",-0.139567180322317,0.700574610936749,0.779260988324143,0.00788077574925951,43.0941830533203,19.2319237309024,NA,NA
"NANOG","blue",-0.139535121112783,0.700640722513932,0.910521920658773,0.000251439145910621,370.260588432503,239.366747653259,NA,NA
